feature,importance
agriculture_context,0.11948611702901371
vegetation_context,0.1122266415639564
industrial_context,0.10933340368799371
frp,0.09062016279629032
persistence_days,0.07837478376376958
detections_at_location,0.0759165567918741
mean_frp_location,0.055888697233560186
min_frp_location,0.05361997329751774
distance_to_power_km,0.05265018962942182
near_power_10km,0.04708305496838115
distance_to_industry_km,0.03966142154472101
confidence_score,0.034910036429555154
max_frp_location,0.031188966875954963
near_industry_5km,0.023509064330903273
longitude,0.017245887451281975
frp_std_location,0.011210756794259449
hour,0.008816929797793771
distance_to_settlement_km,0.007567244564927421
latitude,0.007406195696885041
distance_to_oil_gas_km,0.0052242922449946255
distance_to_road_km,0.0050045396254171925
is_day,0.004750994035304328
day_of_year,0.0025440543447907056
minute,0.0017403322872202955
near_settlement_5km,0.0010109483498340242
settlement_context,0.0009477924393444937
day_of_week,0.0007073299564712499
builtup_context,0.0006626590075239265
is_weekend,0.0002124206443867073
road_context,0.00018761544902791996
near_road_1km,0.00014818421889701574
water_context,0.0001427531487265997
month,0.0
near_oil_gas_10km,0.0
wetland_context,0.0
